sentence1,sentence2,score
A man is opening a package containing headphones.,A woman is riding a horse.,0.0
A girl is playing a guitar.,A boy is playing a key-board between the people.,0.2
A little girl plays the violin on a beach.,The girl sat on the couch to crochet.,0.0
A monkey is karate kicking at someone's gloved hand.,A monkey pratices martial arts.,0.7
A female applies something to he hair with her hands.,A cat is eating a slice of watermelon.,0.0
A man is karate kicking at another man wearing protective boxing gloves.,A man is kick boxing with a trainer.,0.5
The man is playing the wooden flute.,A little boy is vacuuming the floor.,0.0
A young woman is playing a guitar.,A woman cuts up some meat.,0.15
The men are playing soccer.,A man is riding a motorcycle.,0.0
A woman is running on the beach.,A dog is swimming in a pool.,0.0
A man is straining pasta.,A man plays a wooden flute.,0.0
Panda's play on a swing.,A man is playing guitar.,0.16
Two green and white trains sitting on the tracks.,Two green and white trains on tracks.,0.88
A small white cat with glowing eyes standing underneath a chair.,A white cat stands on the floor.,0.52
A large boat in the water at the marina.,A large boat on the sea.,0.64
a bus driving in a street.,Red double decker bus driving down street.,0.8
A passenger train waiting in a station.,A passenger train sits in the station.,0.96
a woman at a dinner table writing on her notebook.,Woman at table busy with something.,0.68
An Apple computer sitting on the floor.,A Macintosh computer sitting on the floor.,0.76
A close-up of a brown horse's head.,A side view of a horse's head.,0.68
A group of people eat at a table outside.,Group of elderly people sitting around a table.,0.56
A jockey riding a horse.,A jockey riding a horse in a pen.,0.76
The man is riding a motorcycle down the road.,A man is riding a red motorcycle on the road.,0.8
A woman riding a brown horse.,A young girl riding a brown horse.,0.76
A kid jumping a ledge with a bike.,A black and white cat playing with a blanket.,0.0
A black dog standing in front of yellow flowers.,A black dog standing in a field.,0.6
Close up of a bottle of water.,A close up view of a bottle of water.,0.88
A close up of a brown faced cat.,A close up of an ostrich face.,0.12
sheep standing in afield.,A sheep grazing in a field.,0.64
A longed-haired cat with it's eyes closed.,A close up of a cat with its eyes closed.,0.72
A woman in a gray shirt smiles for the camera while the woman behind her makes a face.,A woman with a surprised look on her face is holding a smiling woman from behind.,0.52
A silver and blue Amtrak train on the tracks near a small train station.,A small white car parked at the gas station.,0.12
A person in a blue shirt reclines near a coffee table and television.,A person stands on the motorcycle seat and pops a wheelie.,0.0
A black and white photo of a woman showing a horse.,a black and white photo of cows in their stalls.,0.28
A dark brown horse standing in a field.,A brown horse stands in a lush green field.,0.84
A pitched tent with a horse in the background.,A black and white lamb with other lambs in the background.,0.0
A group of people sitting around a table with food on it.,A group of people sit around a table with food and beer.,0.8
A brown horse stands in a lush green field.,A brown horse in a green field.,0.76
a black and white cow in hay.,A black and white cow in a pen with hay.,0.8
An elderly woman stands in a kitchen with two cats at her feet.,The old lady is standing in the kitchen with two cats at her feet.,1.0
A school bus is driving uphill on a rural road.,A race care driving along a dirt road.,0.2
Camouflage airplane sitting on grassy field.,A camouflaged plane sitting on the green grass.,0.88
Three young women standing in a room together.,Two Indian women with two Indian girls near the water.,0.08
Red double decker bus driving through the streets.,Double decker passenger bus driving with traffic.,0.8
A white sheep on a hillside looking at the camera.,The skinny cows are standing on the grass.,0.24
A group of sheep in a field.,A group of horses grazing in a field.,0.32
"A close-up, distorted photo of an empty glass Coke bottle.",A close-up picture of a desk with a computer and papers on it.,0.0
Very crowded office desk with computer monitor on.,Messy computer desk with two monitors.,0.6
A man sitting in a cluttered room.,A man lies in a bed in a cluttered room.,0.64
Two white cows in a green pasture.,The tan horse is in the pasture.,0.28
Black cow walking under trees in pasture.,Cow walking under the tree in a pasture.,0.76
Two people sitting at a table at a restaurant.,four people sitting at a table.,0.36
A smiling woman with a beer sitting outside with another smiling woman.,Two women sitting outside laughing.,0.64
A bird holding on to a metal gate.,A multi-colored bird clings to a wire fence.,0.64
The skinny cows are standing on the grass.,The white ducks are standing on the ground.,0.12
A women laying across two men sitting on a sofa.,A man and two women smiling at the camera while sitting on a blue sofa.,0.44
a woman with a big necklace.,A young woman with a black top and a necklace.,0.68
Brown cow with horns standing in a field.,Brown horse standing in middle of grassy field.,0.36
A cruise liner docked at the shoreline.,A cruise ship docked at shore.,0.88
Black and white cat lying under bush.,The black and white cat with yellow eyes lounges in the dirt.,0.48
Brown and white cow standing in grass at side of road.,A brown and white cow standing in a grassy area with trees behind.,0.72
A small dog looking up at the camera while standing on grass.,A man and women smiling at the camera while standing in a kitchen.,0.16
A tan calf with a yellow tag on his left ear looking at the camera.,A man with glasses and two plastic bottles in the foreground.,0.12
Black and white photo of couch with purse at one end.,a black and white photo of a cow under a tree.,0.0
Two men on boat floating on the water.,Large green boat floating on water.l.,0.48
This is a rear view of a Chevrolet sports car.,The rear view of a red Chevrolet concept car.,0.72
A person wearing a helmet rides a bike near a white structure.,A person wearing a bike helmet rides a bike on a path through trees.,0.64
A black and white photo of an old train station.,A black and white photo of a motorcycle laying on the ground.,0.04
A grey and white tabby cat is sleeping on purple fabric.,Black and white cat sleeping on a brown tarp.,0.48
A woman holding a small baby.,A smiling woman holding a small baby.,0.8
Group of horses grazing in grassy field.,A group of horses grazing in a field.,0.92
Three men are sitting down at a table that has drinks on it.,Three men sitting at the table with beer and food.,0.68
Two people dressed in white standing on a grass field.,A person is standing underneath an overpass near a highway.,0.08
An orange tabby cat sleeping on the sofa.,A man is watching TV on the foot of his bed.,0.12
Two Eagles perched on a branch.,Two bald eagles perched on a branch.,0.76
A striped cat laying down on a bag of cat litter.,Domestic cat laying on back of cat litter.,0.76
A man and small child in a living room posing for the camera.,A man and woman are posing for the camera.,0.48
A home office with three computer monitors and other equipment on a desk.,Room with several computer monitors.,0.6
Five birds stand on the snow.,Several cardinals stand in the snow.,0.76
A black vehicle parked with a vies of low-lying mountains.,A black car parked in the dirt out in the country.,0.52
A passenger train in the snow.,A passenger train waiting in a station.,0.44
The black bird is sitting on the ground.,A blackbird sitting on the ground.,1.0
The black and white bull is looking at the camera.,A black and white dog looking at the camera.,0.4
A young girl riding a white and grey horse.,A young blonde girl in riding gear sits on top of a gray and white horse.,0.76
A black and white sheep is walking next to a white sheep.,Little black and white calf with a tag on its ear.,0.16
A living room with a dining table in the background.,A boy doing a wheelie on a plank with the beach in the background.,0.0
The dining room table gets some afternoon sun.,Dining room with wooden dining table set with playmates.,0.44
A red moped parked on a sidewalk in front of graffiti.,The red scooter is sitting on the street in front of the building.,0.72
The seagull is floating on the water.,A little bird floating in the water.,0.72
A black dog stands next to materials at a construction site.,An Asian toddler girl sits next to a pot of flowers on a marble post.,0.0
A woman posing in front of an apartment building in the snow.,A woman stands in front of a building in the snow.,0.88
Five cows are grazing beside the road.,Several sheep grazing in the field.,0.2
Two mountain goats grazing in front of an alpine lake.,"Two animals grazing next to a mountain, and a body of water.",0.64
Black and white cows behind a fence.,Two black and white cows behind a metal gate against a partly cloudy blue sky.,0.64
A passenger train waiting in a station.,A passenger train waiting at the city train station.,0.8
A white animal running through snow covered woods.,A white dog runs through a snow covered wood.,0.68
A man sitting on the grass looking toward the sky.,The train is riding on the tracks in the snow.,0.0
"A black, flat screen television placed on the floor.",A flat screen TV on the floor.,0.8
A silver bicycle is parked in a living room.,A bicycle in a dining room.,0.48
Black train on train tracks.,A train on the train tracks.,0.82
Black train on train tracks.,A train on the train tracks.,0.82
An orange tabby cat sleeping on the sofa.,Man wearing a bib sitting on a green couch.,0.0
The bald eagle is perched on a rope.,Two bald eagles perched on a branch.,0.52
A couple posing for a picture on a couch.,Young couple sitting on couch.,0.8
The men are playing a guitar and having a drink.,There is a young boy with a red and blue jacket on feeding a sheep.,0.0
Two cats sitting together on the sofa looking out the window.,Two cats are looking at a window.,0.76
Red double decker bus.,Red double decker bus with hood up.,0.75
A close-up of an animal with a long face standing on grass near a tree.,A close-up of a woman with black boots next to a blue motorcycle.,0.0
A brown and white dog sits on a floral-patterned chair.,A small orange and white dog with a collar and a bell relaxes on a flower print pillow.,0.36
A group of people sitting at a restaurant table.,A group of people sitting around a table with food on it.,0.84
Two sheep on to of a cliff looking at the camera.,"Two sheep are standing, looking at the camera, face opposite directions.",0.4
A black and white photo of an empty train station.,a black and white photo of a cat lying down.,0.32
A row of locomotives on a siding in a field.,A dark brown horse standing in a field.,0.24
A white Apple computer sits on the beige carpeting of a bedroom.,An Apple computer sitting on the floor.,0.72
a dog napping under a small table.,A dog sleeping under a table.,0.92
A boat with four sails is sailing on water.,Sail boat sailing on the water.,0.72
Red sports car racing down track.,A red sports car driving quickly on a track.,0.92
Black bird sitting on a concrete slab.,Small dog sitting next to white wall.,0.16
A Victory Liner bus is white with red and gold stripes.,"A white tour bus with red, orange and yellow stripes.",0.64
Red double decker bus on side of street.,A red double decker bus on a city street.,0.88
A group of river barges with trees in the background.,A young girl wearing a bike helmet with a bicycle in the background.,0.08
The seagull is floating on the water.,Large cruise ship floating on the water.,0.24
A motorcycle parked next to a car.,A BMW motorcycle parked between two cars.,0.6
Gray cat looking out the window.,A cat looking out of a window.,0.8
a black and white photo of a cow under a tree.,A black and white photo of a cow walking under a tree in a field.,0.84
A potted plant in sunlight from a window.,A potted plant with only a few sprouting.,0.56
Four people are rowing a boat near the shore.,four people are on a boat on green water.,0.56
A girl in a red shirt is riding a brown horse.,A tan and white dog laying in bed with a yellow coverlet.,0.0
There is a small desk and chair in front of the laundry room.,A room with tan walls and a washer and dryer.,0.28
An Amtrak passenger train waiting at a station.,A passenger train waiting in a station.,0.8
A large jet on the ground at the airport.,A passenger jet flies through the air.,0.36
A young girl wearing a helmet riding a pony.,A girl wearing a red blouse riding a brown horse.,0.4
People sitting on the porch.,People sitting on acouch.,0.28
Two horses standing in a pen.,A group of horses grazing in a field.,0.32
The red train and the yellow train on on the tracks.,Two trains are traveling on the track.,0.68
Two people sitting at a table at a restaurant.,A group of people sitting around a table on a porch.,0.2
A lamb stands near two tiny animals.,A sheep standing near her children.,0.28
A person riding a dirt bike in the outdoors.,A person jumping a motorbike in the air.,0.44
Tan cow with ear tags on a grassy field.,Many sheep standing on a green hill.,0.04
Sail boat sailing on the water.,Sail boat floating on the blue water.,0.84
a woman with a viking hat on.,Smiling woman sitting wearing a viking hat.,0.84
Parked white double decker bus.,A red and white double decker bus is parked.,0.84
A field of black faced sheep.,A black faced sheep.,0.56
Two birds are perched on a metal band.,Two small birds perched on a metal bar.,0.8
Table with blue table cloth in kitchen.,Wooden cabinets in kitchen.,0.32
A young woman with a bracelet is wearing a bikini top and jeans.,A women wearing a bikini top and jeans.,0.8
A brown horse grazing in a field of green grass.,Brown horse standing in middle of grassy field.,0.8
A pot of liquid is at the center of a tinfoil covered plate.,A pot of food is placed in the center of a red tablecloth.,0.28
A black and white cow standing in a grassy field.,A blue jay standing in a grassy field.,0.12
A yellow and blue airplane is flying in the sky.,The white airplane is flying in the blue sky.,0.64
A women sitting in a chair at Christmas holding make up.,A train sitting on the tracks in a train yard.,0.0
Four Asian young people sitting in a den or living room.,A girl sitting in a living chair.,0.16
Train going down the tracks.,Train gliding on tracks.,0.92
A young woman dressed in black.,Two young kids dressed up sitting down on chairs.,0.04
Group of people sitting at table with drinks.,four people sitting at a table.,0.6
A plane flying at a distance.,A woman with a white horse.,0.0
A group of river barges with trees in the background.,A group of cows in a field with yellow tags in their ears.,0.04
A living room with a dining table in the background.,A living room with large sofas and a dining table in the background.,0.72
Yellow striped cat resting on blue sofa.,An orange tabby cat sleeping on the sofa.,0.8
A passenger train coming into a station.,A large bird is flying through the air.,0.0
Two people paddling in a red canoe with trees in the background.,Two people padding in a yellow canoe down a river with trees in the background.,0.68
A black train moves down the tracks.,Black train idle on the tracks.,0.44
A white jeep parked in front of a store.,A white Jeep parked on a street.,0.7
Two women standing in front of tour bus.,Two men talking in front of a plane.,0.08
A man rides a large black motorbike.,A child sits in a large black leather chair.,0.0
A bicycle is parked outside a bookstore.,People stand outside a bookstore.,0.16
Plane in mid-flight at sunset.,A plane flying near the sunset.,0.76
Two red buses parked up with gardens in front of them.,Red buses are parked by a large white building beside a formal garden.,0.68
A yellow parrot clings to the side of its cage.,A yellow and orange bird hold on to the side of a cage.,0.68
Couple sailing in a small sailboat.,Two men sailing in a small sailboat.,0.6
A silver and blue motorcycle sitting next to a car.,A motorcycle parked next to a car.,0.72
Red double decker bus.,"A red, double-decker bus.",1.0
Feet standing on a pretty day with large building in background.,Two police officers standing behind a van with a bus in the background.,0.08
A small white dog chews on a twig while lying on a wooden deck.,The white dog is laying on the wooden floor underneath the table.,0.32
Man standing in front of silver train.,Man standing in front of a silver rail car.,0.88
A close-up of a sheep with its tongue hanging out.,Close up image of a sheep with it's tongue hanging out.,1.0
A black and white horned cow standing in a field.,a black and white cow standing in the field.,0.84
A man riding a white horse in an arena.,A man riding a white horse.,0.8
A train sitting on the tracks near a field.,A train traveling down the tracks.,0.44
A women and small child sitting at a dinner table smiling at the camera.,A small cat laying on a wooden beam looking up at the camera.,0.08
A buddha statue sits on a table with a wooden table runner.,A bird standing on top of a wooden fencepost.,0.08
Two red buses driving in front of a garden.,Train pulling into a station.,0.0
Cows grazing in a snow covered field.,Five cows grazing in a snow covered field.,0.76
A man riding a white horse.,A woman riding a brown horse.,0.36
Man with blue shirt standing in front of a fountain.,"A man in a blue shirt and tan pants is standing in front of a statue of a man, which is in a cobble stone paved plaza.",0.64
A girl in riding gear sits atop a brown horse.,A girl in a red shirt is riding a brown horse.,0.8
A clear plastic chair in front of a bookcase.,a clear plastic chair in front of book shelves.,0.84
A dog is wearing a gray jacket.,A dog laying in a pet jacket.,0.6
A sheep stands on a hillside.,A large sheep standing on a hill.,0.8
A black and white cow standing in a grassy field.,a black and white cow standing in the field.,0.76
A woman in a black bikini top and jeans.,A woman in a black hat is standing by the subway.,0.2
A girl riding a brown horse.,The jockey is wearing purple and riding a brown horse.,0.44
Man standing in front of yellow corvette.,A man is standing next to a yellow sports car.,0.64
A man sitting on the grass looking toward the sky.,The man is standing on the sidewalk in front of the horse.,0.0
A man poses in front of a large fountain with a statue on top.,Man with blue shirt standing in front of a fountain.,0.56
A white cat standing on a carpet.,A sheep standing in a forest.,0.08
A flat screen TV on the floor.,A flat-screen TV sits on the floor.,1.0
Two brown horses standing in grassy field.,Two men sailing in a small sailboat.,0.0
Two sheep stand in a doorway.,Two rams stand on snowy ground.,0.28
Room with several computer monitors.,A room with four computer monitors in a row.,0.8
A line outside of a bookstore on a street.,The yellow motorcycle is parked on the street.,0.08
A passenger jet sits on a runway.,A large passenger jet flying close to the ground.,0.36
Old green bottle sitting on a table.,Three men in suits sitting at a table.,0.08
Two white horses staring over a fence.,Two horses standing in a pen.,0.6
The black and white cows pause in front of the gate.,The white airplane is flying in the sky.,0.0
A black and white cow standing in a grassy field.,A black and white horned cow standing in a field.,0.8
a black and white photo of a cat lying down.,A black and white image of a cat laying on a rug.,0.84
"A man and woman stand, smiling for camera.",A man and woman are posing for the camera.,0.84
A orange and white cat asleep on a leather chair.,A ginger cat sitting on an office chair.,0.6
A white cat standing on a carpet.,A pretty white striped cat with his head hanging off the table.,0.32
Grey and white domestic kitten lying down on a desk.,A man and his bicycle laying down on the green grass.,0.04
A woman posing in front of an apartment building in the snow.,White bus parked in grass in front of building.,0.0
A young woman with a bracelet is wearing a bikini top and jeans.,"A woman wearing jeans, a dark bikini top, and a bracelet.",0.92
A table and chairs are in a room with a picture on the wall and a ceiling fan.,A school bus driving down a road with green trees and grass in the background.,0.0
A man sits crossed legged on a bed watching a small TV.,A man sits on a bed very close to a small television.,0.68
The headlights on a blue car.,Close up of the headlights on a blue car.,0.84
A passenger train coming into a station.,A passenger train sits in the station.,0.48
An airplane facing the camera.,A lone cow sits in the cold of the yard.,0.0
A woman riding a brown horse.,A person dressed in white on a brown horse.,0.64
a jockey riding a horse.,A jockey riding a horse in a pen.,0.76
The two dogs blend in with the stuff animals.,Two dogs sit on a couch with many stuffed animals.,0.68
A train is running on the tracks.,A train is running down the track in a rural area.,0.8
"Someone standing on a snowy mountain, watching a plane.","A man stands on a mountain, watching a plane.",0.88
A bird is flapping its wings in the water.,A large black bird is sitting in the water.,0.64
A cruise liner docked at a port.,A cruise ship docked at a coast.,0.64
A red double decker bus on a crowded street.,A white bus partially in the snow on a public street.,0.4
A woman pets a dog in a fenced area.,A woman pets a dog in a gated yard.,0.96
A black and white cat playing with a blanket.,A black and white cat gets into a basket of yarn.,0.44
A man on a mountain bike going down an incline.,This is a man riding a mountain bike over rocks on a clear day.,0.64
A cat reclines on an office chair.,A ginger cat sitting on an office chair.,0.76
A group of horses grazing in a field.,A brown horse grazing in a field of green grass.,0.52
A group of people having a drink.,A row of locomotives on a siding in a field.,0.0
Two dogs in a fenced kennel look ahead.,Two woman pose in a dining room with a baby.,0.0
Three sheep on a dirt road viewed from a passenger vehicle.,Three sheep in middle of gravel road.,0.68
A yellow and blue airplane is flying in the sky.,Nine red and white aircraft flying in formation trailing smoke.,0.2
The train sits at the train station.,The blue train is at the station.,0.8
A train sitting on the tracks near a field.,A baby is sitting in the grass.,0.0
Red double decker bus taking on passengers.,A red double decker bus is picking up more passengers in a city.,0.88
Two guys sit on a couch holding beers with a girl lying on their laps.,Two women watching the street with their bikes to see when they may cross.,0.0
Two women in the kitchen looking at a object.,Two women in kitchen with one taking a picture.,0.56
A race horse galloping without a rider.,A horse galloping while wearing the number 4.,0.56
A steam engine and train moving toward the camera.,A large bird of prey flying towards the camera.,0.16
A black and white photo of a glass bottle of Coca Cola.,This is a black and white picture of a short squat Coca-cola bottle.,0.84
A small bird perched on an icy branch.,A yellow bird perched on a branch.,0.64
Boy with glasses typing on a computer.,A boy looking at a computer screen.,0.64
A red truck spins their tires while a black one leaves the frame.,Red truck spinning tires and emitting smoke from behind.,0.64
"A living room with table, chair and sofa alongside a large palm.","A living room with a blue sofa, camp bed, wooden bench and dresser.",0.48
A smiling woman holding a small baby.,a woman sitting on a sofa holding a baby.,0.68
An Esso gas station with trees in the background.,Two police officers standing behind a van with a bus in the background.,0.0
Four blue and yellow planes flying over four boats.,Four blue and yellow planes in flight.,0.84
A horse standing near a gate with another horse in the background.,A group of river barges with trees in the background.,0.0
Three bottles are on a table.,Old green bottle sitting on a table.,0.48
A steam engine comes down a train track near trees.,A train is at a train station.,0.28
A train is at a train station.,A train parked at a train station.,0.84
a woman sitting on a sofa holding a baby.,Bird sitting on a log in a lake.,0.08
Two birds flying towards water feeder.,Two birds flying near bird feeders.,0.72
Two cows standing in a large field.,Horse standing in a field.,0.32
A group of sheep grazing on a hill.,A group of sheep are on a hill.,0.8
A man stands in front of a train.,"A man is standing in front of a raised statue,.",0.4
Two women are posing for the camera and giving the thumbs up sign.,Two smiling young women giving the thumbs up sign.,0.88
A women holds a small baby while sitting on a sofa.,a woman sitting on a sofa holding a baby.,0.96
A double decker red United bus on a city street.,A doubly decker red bus driving down the road.,0.8
Two women sitting on brown couch.,Two women standing outside of a bus.,0.2
A grey cat with green eyes looking into the camera.,"A grey, black, and white cat looking at the camera.",0.64
The bird is sitting on the branch.,The sheep is standing under the trees.,0.0
Group of people sitting at table of restaurant.,Two people sitting at a table at a restaurant.,0.76
A black and white cow stands on grass against a partly cloudy blue sky.,Two black and white cows behind a metal gate against a partly cloudy blue sky.,0.48
A guy on a white horse.,A man riding a white horse in an arena.,0.64
Two dairy cows drinking from a pond.,Two cows are drinking from a pond.,0.92
There are several sheared sheep in a pen.,Three white sheep in an enclosure.,0.48
The black dog is lying in the grass.,A black dog lies on the grass.,1.0
"Two young people are sitting at a table next to a sliding glass door, with one person pointing at the other.",Two people sit facing each other at a table as one points at the other.,0.84
A man and a woman holding hands walking along the beach.,A man with a beard and a skullcap and a boy walk along the ocean's shore.,0.44
Ten sheep looking at the camera.,A cat on its back looking at the camera.,0.24
A black and white dog looking at the camera.,A small black and white goat in a pen looking up at the camera.,0.28
A black table with white fuzzy chair.,A woman with her child.,0.0
Red double decker bus taking on passengers.,A red double decker bus driving down a street.,0.44
Sail boat sailing on the water.,Sailboat sailing on a cloudy day.,0.68
A blue bird perches on the gloved hand of a person.,A bird is perched on a person's gloved hand.,0.84
A girl riding on a brown and white horse.,A girl riding a brown horse.,0.72
A mostly black train on a track.,A car parked in front of train tracks.,0.2
A young boy coloring with a red and blue crayon.,A young blonde girl in riding gear sits on top of a gray and white horse.,0.0
A group of people in a living room.,A group of four people walking past a giant mushroom.,0.16
A mallard and a tame white duck on the grass near water.,A small child in a pink dress sits on a table.,0.0
The cat is sitting between two bicycles in front of a door.,Than horse standing in a field in front of a fence.,0.0
A girl with a red bag standing on the street.,A black dog is staring at a sheep.,0.0
A horse rider is riding a white horse.,A woman leading a white horse.,0.68
A long train is on train tracks.,A train on the train tracks.,0.84
A black and tan dog looks at a black sheep.,A black dog looking at a brown sheep in a pen.,0.6
A room with several computers and pictures on the wall.,A home office with three computer monitors and other equipment on a desk.,0.56
A black and white photo of a cow walking under a tree in a field.,A black and white dog looking at the camera.,0.2
A silver AreoMexico Jet Liner sitting on the tarmac.,An aeromexico silver plane is on a runway.,0.84
a man on a dirt bike jumping very high.,A man on a motorbike jumping with the sky behind him.,0.68
Two people sailing a small white sail boat.,Couple sailing in a small sailboat.,0.84
A white airplane is parked on the cement.,A blue motorcycle is parked on the sidewalk.,0.16
Three cows grazing in a field.,Several sheep grazing in the field.,0.16
The man is sitting at a messy table and using a laptop.,A man sits looking at a laptop computer on a messy table.,0.96
"A dining table with candles, wine, and a teapot.","A wooden table is set with candles, wine, and a purple plastic bowl.",0.6
Two people paddling a red canoe are reflected in the still water.,Two people in a red canoe on a clear lake.,0.64
A scantily clad woman is standing next to a car.,A scantily clad woman standing next to a small red vehicle.,0.76
Red double decker bus taking on passengers.,Red double decker bus with hood up.,0.44
A buddha statue holding a candle is sitting on a table.,A man fishing on a small boat while on a lake.,0.0
Three people sitting at dinner table smiling at camera.,Two elderly women sit at a dinner table with a man.,0.4
A multi-colored train on a track.,A mostly black train on a track.,0.56
A white and red bus traveling on the street.,The red bus is on the street.,0.44
A red and blue plane flying with its landing gears down.,A WWII fighter plane with its landing gear down.,0.64
Small boat going down a creek.,a boat moving in a river.,0.6
Four women and two men sit at a long table in a restaurant.,A group of people sit at a table in an Italian restaurant.,0.6
Two goats standing in a field by a tree.,A large boat pulling a small white boat.,0.0
"A black and white photo of a living room with a large window, sofa, and chair.",A black and white scene of a well furnished room with a view outlooking a forest.,0.6
Close up of a brown horse with a blue halter.,A close up of a horse wearing a blue halter.,0.72
A large black bird is sitting in the water.,The birds are swimming in the water.,0.52
A close-up of a cat on a cream sofa.,A siamese cat resting on a white sofa.,0.68
A person is jumping a bicycle and performing a trick.,A person riding a dirt bike in the outdoors.,0.45
A yellow school bus is parked in a rural area.,A yellow school bus parked in a field.,0.8
A pug dog wits on a yellow chair next to a green dumpster.,A bulldog sitting on a yellow chair beside a large waste receptacle.,0.64
The woman is sitting on the red motorcycle.,The white sheep is standing on the green hill.,0.0
A sheep standing on a table at auction.,Woolly sheep at auction house.,0.84
A close-up of a black train engine.,Close up of a white sheep with a black head.,0.0
A orange and white cat asleep on a leather chair.,A orange and white cat laying on a blanket in a black leather chair.,0.8
a train rides on his tracks.,"The train comes down the track, between two rows of trees.",0.6
Black and white cow standing in grassy field.,A black and white horned cow standing in a field.,0.76
A double decker red United bus on a city street.,A double decker bus drives on a city street.,0.8
The television and desk of hotel room with lamp lighting.,A television and a laptop computer are on in a hotel room.,0.52
A man riding a small bicycle.,A man is doing a wheelie on a bike.,0.56
A woman wearing a navy dress is cutting a cake on a white table.,A person wearing a helmet sits on a bicycle on a sunny day.,0.08
A black train moves down the tracks.,A train traveling down the tracks.,0.8
A close-up picture of a white and purple motorcycle.,A close-up picture of a desk with a computer and papers on it.,0.2
A young girl riding a brown horse.,A woman in riding a brown horse.,0.76
Two women in the kitchen looking at a object.,Three men in suits sitting at a table.,0.0
Two women posing with a baby.,A woman poses with a baby.,0.44
A group of people sitting around a table containing food.,Four people are sitting around a living room with.snacks.,0.56
A blue motorcycle is parked on the sidewalk.,A blue moped parked on the sidewalk.,0.8
A red double decker bus on a city street.,A red double decker bus driving down a street.,0.96
Two trains inside a train station.,The train sits at the train station.,0.48
A man riding a white horse.,A woman with a white horse.,0.44
A man and two women smiling at the camera while sitting on a blue sofa.,A man and women smiling at the camera while standing in a kitchen.,0.44
A large cruise ship in harbor with trees behind.,A cruise ship docked at a coast.,0.68
Two cows crossing a road intersection.,Two cows cross a paved street.,0.76
Several cows grazing on the median by the road.,Five cows grazing on a patch of grass between two roadways.,0.8
A black cow and a brown cow stands in a plain in front of an uprooted tree.,A black cow and a brown cow standing in front of a small copse of trees in a field.,0.84
Red double decker bus driving down street.,A double decker bus on a city street.,0.72
Tan cow with ear tags on a grassy field.,Person in grassy field tending to sheep.,0.24
A close up of the front end of a purple and white motor cycle.,Close up of the rear of a red sports car.,0.24
Two women shopping at a clothing store.,Two women in a clothing store.,0.92
A group of people sitting at a restaurant table.,Group of people sitting at table of restaurant.,0.92
A close-up of a brown horse's head.,A close-up of a yellow school bus.,0.0
A person in a red cap standing next to a brick support beam.,A brown horse is standing on grass and scrub.,0.0
A bay foal is walking next to its mother in a grassy field.,Close-up of young horse walking next to a larger horse.,0.52
A women standing next to a brown cow.,A women in glasses stands next to a cow in a field.,0.76
A dog peaks out the back of a truck.,A dog is peeking out of the back of a van.,0.72
Woman in blue shift dress cutting into food.,A woman in a blue dress cuts a cake.,0.76
The black and white cat is looking up at the camera.,"A grey, black, and white cat looking at the camera.",0.72
Two brunette girls sit atop a red an yellow motorcycle with a side car.,A couple posing on a red and yellow motorcycle.,0.64
A small white cat standing in a sink.,Grey and white cat sitting in bathroom sink.,0.72
A man on the back seat of a red tandem bicycle.,A man is alone on the back of a tandem bicycle.,0.72
A computer on a desk.,A computer operating on a desk.,0.8
A small child smiling at the camera.,A small child sits on a cement wall near white flower.,0.32
A little bird floating in the water.,A duck floating in the water.,0.48
A white bus with the word Julia is near water and a big ship.,A white bus with water and a barge in the background.,0.76
Old blue and white train on tracks.,A blue train in a mountainous area.,0.52
Yellow boat on a beach.,A yellow boat on shore.,0.8
A kitchendiner with papers laying on the blue clothed dining table.,A small kitchen and a cluttered table with a blue table cloth.,0.68
Train in a station.,Trains inside an indoor station.,0.76
A gray cat is sitting on the window ledge looking at the camera.,The cat is standing on the window sill looking at the camera.,0.8
Man playing guitar while sitting down.,Red and white bus driving down road.,0.0
Red double decker bus driving down a street.,A double decker bus on a city street.,0.84
Three cows are grazing in a grassy field.,Three cows grazing in a field.,0.92
The brown train is sitting on the railroad tracks.,The white train is sitting on the tracks.,0.45
A black and white horned cow standing in a field.,A black and white photo of a cat sitting on a sofa.,0.08
A tiny blonde child in a blue dress sits on a table near her mother.,A young blonde girl wearing a helmet sits with a red bicycle behind her.,0.32
A group of people sitting at a restaurant table.,A group of people sitting around a table on a porch.,0.52
A black and white cow in a pen with hay.,A black and white cat lies in the dirt.,0.08
"A red, double-decker bus.",Front and left side of a red double decker bus.,0.64
A close-up view of a horse's head.,A side view of a horse's head.,0.64
An old fashioned wooden sailing ship in the ocean.,A wooden yacht on the ocean.,0.64
A sheep standing in a mountainous area.,A large sheep standing on a hill.,0.88
A white plane on the runway.,A white airplane is on a runway.,0.96
A tan puppy being petted.,A tan puppy being held and petted.,0.88
Elegant dining room with wood furniture.,An elegant pink dining room with wooden furniture.,0.76
A women laying across two men sitting on a sofa.,Two men in shorts are sitting on a sofa.,0.4
two motorbikes on a dirt track.,Two dirt bikers riding over dirt hill.,0.72
The black and white cat is looking up at the camera.,A black and white dog looking at the camera.,0.44
A gray cat with green eyes looks at the camera.,A grey cat with green eyes looking into the camera.,1.0
Two lambs stand on a grassy hill.,Two dirt bikers riding over dirt hill.,0.04
A man in white with a wine bottle and a woman in a red turtleneck with a white vest.,A man and woman posing on a field with a bottle of wine.,0.6
A lone cow sits in the cold of the yard.,a black and white cow standing in the field.,0.36
